Date,Open,High,Low,Close,Adj Close,Volume
2015-09-21,38700.0,39000.0,38550.0,39000.0,37569.679688,513400
2015-09-22,38750.0,39000.0,37975.0,38050.0,36654.519531,1596000
2015-09-23,37800.0,37800.0,36950.0,36950.0,35594.863281,1248600
2015-09-25,36950.0,36950.0,35725.0,36250.0,34920.53125,1634700
2015-09-28,36250.0,36500.0,35525.0,36100.0,34776.03125,804900
2015-09-29,35750.0,38150.0,35350.0,38000.0,36606.351563,2092500
2015-09-30,38000.0,38450.0,37500.0,38000.0,36606.351563,2527800
2015-10-01,38000.0,39200.0,38000.0,38800.0,37377.011719,1349400
2015-10-02,38800.0,38900.0,37800.0,37800.0,36413.6875,1223300
2015-10-05,38300.0,39375.0,38300.0,39000.0,37569.679688,1587900
2015-10-06,39500.0,39550.0,38475.0,39450.0,38003.171875,1360700
2015-10-07,39450.0,39650.0,38525.0,39000.0,37569.679688,2393400
2015-10-08,39000.0,39625.0,39000.0,39500.0,38051.335938,963000
2015-10-09,39950.0,40000.0,38600.0,39050.0,37617.84375,1585800
2015-10-12,39050.0,39500.0,39050.0,39400.0,37955.003906,1594200
2015-10-13,39050.0,39225.0,38500.0,38600.0,37184.34375,1793300
2015-10-15,38600.0,39325.0,38000.0,38000.0,36606.351563,1307000
2015-10-16,38300.0,38500.0,37125.0,37575.0,36196.941406,2440400
2015-10-19,37700.0,38500.0,37700.0,38325.0,36919.433594,1317800
2015-10-20,38350.0,38900.0,38325.0,38725.0,37304.757813,1848500
2015-10-21,38700.0,38925.0,38350.0,38700.0,37280.675781,730100
2015-10-22,38600.0,38700.0,38000.0,38250.0,36847.179688,974800
2015-10-23,39200.0,39200.0,38400.0,38425.0,37015.765625,1446100
2015-10-26,38425.0,38925.0,38425.0,38650.0,37232.507813,1369600
2015-10-27,38650.0,38800.0,38275.0,38650.0,37232.507813,1632700
2015-10-28,38500.0,38600.0,38200.0,38200.0,36799.011719,1229400
2015-10-29,38350.0,38350.0,37150.0,37200.0,35835.6875,2306400
2015-10-30,37250.0,37500.0,37000.0,37000.0,35643.03125,2455900
2015-11-02,37000.0,37150.0,36500.0,36900.0,35546.695313,1200400
2015-11-03,37200.0,37300.0,36800.0,36800.0,35450.363281,1168500
2015-11-04,37100.0,37200.0,36825.0,37025.0,35667.109375,1340700
2015-11-05,37025.0,37100.0,36675.0,36775.0,35426.273438,1065400
2015-11-06,36700.0,37150.0,36700.0,37000.0,35643.03125,768400
2015-11-09,36950.0,36950.0,36550.0,36700.0,35354.027344,879800
2015-11-10,36525.0,36700.0,35400.0,35400.0,34101.707031,1900800
2015-11-11,35500.0,36050.0,35100.0,35175.0,33884.957031,2408000
2015-11-12,35200.0,35700.0,34600.0,34600.0,33331.046875,957700
2015-11-13,34600.0,36700.0,34500.0,36300.0,34968.699219,1969300
2015-11-16,36000.0,36800.0,35450.0,36300.0,34968.699219,1236500
2015-11-17,36600.0,36850.0,36375.0,36375.0,35040.953125,673200
2015-11-18,36275.0,36600.0,36100.0,36525.0,35185.445313,598800
2015-11-19,36600.0,37025.0,36600.0,36700.0,35354.027344,1274500
2015-11-20,36700.0,37250.0,36650.0,37250.0,35883.855469,953000
2015-11-23,37250.0,37700.0,37150.0,37550.0,36172.855469,806400
2015-11-24,37550.0,37600.0,36650.0,36925.0,35570.777344,877100
2015-11-25,36925.0,37825.0,36925.0,37800.0,36413.6875,1788100
2015-11-26,37800.0,38200.0,37025.0,37050.0,35691.195313,1270900
2015-11-27,37050.0,38500.0,36650.0,38500.0,37088.015625,900700
2015-11-30,37850.0,38000.0,36750.0,36750.0,35402.195313,5142500
2015-12-01,37650.0,37825.0,36800.0,37400.0,36028.355469,1883400
2015-12-02,37000.0,37575.0,36625.0,36775.0,35753.21875,1506200
2015-12-03,36500.0,36900.0,36500.0,36750.0,35728.914063,878500
2015-12-04,36550.0,36875.0,36025.0,36175.0,35169.886719,1796100
2015-12-07,36050.0,36675.0,35600.0,35750.0,34756.695313,1957100
2015-12-08,35350.0,35425.0,35025.0,35100.0,34124.757813,2736500
2015-12-09,35100.0,35100.0,35100.0,35100.0,34124.757813,0
2015-12-10,35100.0,35450.0,35100.0,35375.0,34392.113281,1693200
2015-12-11,35375.0,35400.0,34500.0,34675.0,33711.566406,1955700
2015-12-14,35800.0,35800.0,34150.0,35150.0,34173.367188,1433800
2015-12-15,35000.0,35150.0,34525.0,35125.0,34149.0625,1878600
2015-12-16,35625.0,35675.0,35125.0,35350.0,34367.8125,1426000
2015-12-17,36000.0,37000.0,35500.0,37000.0,35971.964844,3293900
2015-12-18,36100.0,36500.0,35800.0,35875.0,34878.222656,2067200
2015-12-21,35875.0,35900.0,35350.0,35600.0,34610.867188,1183400
2015-12-22,35500.0,36975.0,35500.0,36975.0,35947.660156,1574400
2015-12-23,36975.0,36975.0,36250.0,36650.0,35631.691406,1203100
2015-12-28,36650.0,37075.0,36375.0,37025.0,35996.269531,1776100
2015-12-29,37200.0,37250.0,37000.0,37250.0,36215.023438,1084600
2015-12-30,37300.0,37625.0,37000.0,37000.0,35971.964844,2431700
2016-01-04,37000.0,37050.0,36000.0,36000.0,34999.75,1116800
2016-01-05,36000.0,36975.0,35450.0,35675.0,34683.78125,3716400
2016-01-06,35800.0,37500.0,35800.0,37425.0,36385.15625,2618700
2016-01-07,36925.0,36925.0,36000.0,36000.0,34999.75,2236400
2016-01-08,36000.0,36350.0,35750.0,36175.0,35169.886719,3260600
2016-01-11,35900.0,35925.0,35300.0,35325.0,34343.503906,1940600
2016-01-12,35400.0,36250.0,35400.0,36100.0,35096.972656,1191600
2016-01-13,36150.0,36475.0,35950.0,36100.0,35096.972656,1721600
2016-01-14,35875.0,36250.0,35575.0,35725.0,34732.390625,2274000
2016-01-15,35775.0,36200.0,35775.0,36000.0,34999.75,1175000
2016-01-18,35500.0,36100.0,35500.0,35650.0,34659.476563,956600
2016-01-19,35975.0,36200.0,35600.0,35900.0,34902.527344,682800
2016-01-20,35700.0,36250.0,35600.0,35600.0,34610.867188,2517800
2016-01-21,35875.0,36200.0,35600.0,35800.0,34805.308594,1558700
2016-01-22,36200.0,36200.0,35375.0,35600.0,34610.867188,3471400
2016-01-25,35950.0,36200.0,35625.0,35625.0,34635.171875,1691300
2016-01-26,35800.0,36150.0,35600.0,35975.0,34975.445313,1703700
2016-01-27,36000.0,37300.0,35825.0,37300.0,36263.628906,2619700
2016-01-28,37300.0,37325.0,36525.0,37250.0,36215.023438,1413400
2016-01-29,37150.0,37150.0,36100.0,36700.0,35680.300781,4925500
2016-02-01,36700.0,36800.0,36050.0,36800.0,35777.523438,2018800
2016-02-02,36700.0,37700.0,36525.0,37475.0,36433.765625,3189200
2016-02-03,37300.0,39000.0,37000.0,38625.0,37551.816406,5302500
2016-02-04,38625.0,39950.0,38625.0,39950.0,38840.003906,3793600
2016-02-05,39950.0,41600.0,39900.0,40600.0,39471.941406,4065200
2016-02-09,40600.0,41000.0,39625.0,40850.0,39714.992188,854200
2016-02-10,41000.0,41075.0,40475.0,40850.0,39714.992188,1309700
2016-02-11,40900.0,41550.0,40500.0,41550.0,40395.546875,2214300
2016-02-12,40500.0,41600.0,40500.0,41100.0,39958.050781,1593200
2016-02-15,41675.0,41675.0,41475.0,41575.0,40419.851563,1044300
2016-02-16,41500.0,41525.0,40550.0,41000.0,39860.832031,1327800
2016-02-17,41000.0,41575.0,41000.0,41350.0,40201.101563,1654500
2016-02-18,41600.0,41875.0,40750.0,41675.0,40517.074219,2444800
2016-02-19,41675.0,42775.0,41525.0,42750.0,41562.207031,4082500
2016-02-22,42750.0,43800.0,42250.0,43375.0,42169.839844,1693500
2016-02-23,43750.0,44100.0,40850.0,42450.0,41270.539063,3036000
2016-02-24,42400.0,42400.0,41200.0,42000.0,40833.039063,1567400
2016-02-25,42450.0,43200.0,42250.0,42725.0,41537.902344,1376100
2016-02-26,43900.0,43900.0,42700.0,43900.0,42680.25,1200600
2016-02-29,43950.0,46175.0,43500.0,44525.0,43287.886719,4274000
2016-03-01,44525.0,45800.0,44525.0,45400.0,44138.578125,1267800
2016-03-02,45000.0,47800.0,45000.0,47800.0,46471.890625,3216200
2016-03-03,47800.0,47800.0,46000.0,46425.0,45135.09375,2832400
2016-03-04,46900.0,47500.0,44025.0,45200.0,43944.128906,3178100
2016-03-07,45750.0,45850.0,44100.0,44150.0,42923.304688,1738900
2016-03-08,44150.0,44450.0,42500.0,43500.0,42291.367188,3915600
2016-03-10,43500.0,43500.0,41975.0,42750.0,41562.207031,4344100
2016-03-15,44250.0,44450.0,43825.0,44050.0,42826.085938,2496100
2016-03-16,43500.0,44100.0,43500.0,44050.0,42826.085938,1352800
2016-03-17,44150.0,44250.0,43250.0,43875.0,42655.949219,2011000
2016-03-18,43500.0,44450.0,43500.0,44450.0,43214.972656,3660300
2016-03-21,44000.0,44750.0,43675.0,44000.0,42777.472656,2057200
2016-03-22,43600.0,43975.0,43075.0,43525.0,42315.671875,1834500
2016-03-23,43300.0,43325.0,42500.0,43000.0,41805.257813,3069700
2016-03-24,42500.0,42825.0,42400.0,42525.0,41343.453125,1581600
2016-03-28,42525.0,42525.0,42000.0,42000.0,40833.039063,1440900
2016-03-29,42025.0,42975.0,42025.0,42975.0,41780.953125,3189200
2016-03-30,42950.0,43225.0,42500.0,42975.0,41780.953125,3123000
2016-03-31,43350.0,43350.0,42575.0,42925.0,41732.339844,3203100
2016-04-01,43000.0,43200.0,42725.0,43175.0,41975.398438,1239800
2016-04-04,43350.0,43800.0,43200.0,43500.0,42291.367188,1534600
2016-04-05,43525.0,43725.0,43325.0,43325.0,42121.230469,836600
2016-04-06,43025.0,43500.0,43000.0,43500.0,42291.367188,992000
2016-04-07,43800.0,43800.0,43050.0,43150.0,41951.09375,1931500
2016-04-08,42700.0,43375.0,42550.0,43000.0,41805.257813,1461200
2016-04-12,42475.0,44000.0,42200.0,43950.0,42728.863281,1505900
2016-04-19,43950.0,43950.0,43950.0,43950.0,42728.863281,0
2016-04-20,45475.0,46000.0,44750.0,45300.0,44041.351563,3519000
2016-04-21,45300.0,47125.0,45125.0,46500.0,45208.011719,3727500
2016-04-22,46500.0,47300.0,45525.0,47000.0,45694.125,2413000
2016-04-25,46450.0,46450.0,44300.0,44775.0,43530.9375,3210200
2016-04-26,44775.0,44775.0,43650.0,43900.0,42680.25,1934600
2016-04-27,43800.0,44150.0,43300.0,44150.0,42923.304688,1748500
2016-04-28,44150.0,44175.0,42825.0,43475.0,42267.058594,2134000
2016-04-29,43475.0,43475.0,42575.0,42575.0,41392.066406,1657600
2016-05-02,42600.0,43250.0,42350.0,43250.0,42048.3125,575600
2016-05-03,43475.0,43775.0,43400.0,43775.0,42558.726563,1280000
2016-05-04,43800.0,45150.0,43350.0,45150.0,43895.519531,2387900
2016-05-09,45150.0,45150.0,43575.0,44500.0,43263.578125,1568500
2016-05-10,44450.0,44500.0,43325.0,43925.0,42704.558594,1304000
2016-05-11,44300.0,44975.0,43575.0,44300.0,43069.140625,515600
2016-05-12,44300.0,44800.0,44100.0,44300.0,43069.140625,448300
2016-05-13,44300.0,44550.0,43650.0,44400.0,43166.359375,1192300
2016-05-16,44200.0,44200.0,43000.0,43050.0,41853.867188,1415000
2016-05-17,43050.0,43475.0,43000.0,43075.0,41878.171875,1165700
2016-05-18,43075.0,43600.0,42700.0,42950.0,41756.644531,1836600
2016-05-19,43400.0,43400.0,42800.0,42800.0,41610.816406,1209600
2016-05-20,42800.0,42800.0,42525.0,42550.0,41367.761719,1037200
2016-05-23,42700.0,43075.0,42700.0,42975.0,41780.953125,839900
2016-05-24,43000.0,43050.0,42500.0,42500.0,41319.148438,736000
2016-05-25,42700.0,44000.0,42700.0,43700.0,42485.8125,1365600
2016-05-26,43500.0,43675.0,43025.0,43675.0,42461.503906,826200
2016-05-27,43650.0,44000.0,43100.0,44000.0,42777.472656,1013400
2016-05-30,43600.0,43900.0,43600.0,43725.0,42510.113281,585200
2016-05-31,43100.0,43250.0,43000.0,43100.0,41902.476563,3814700
2016-06-01,43100.0,43550.0,43100.0,43550.0,42339.972656,1389400
2016-06-02,43125.0,43575.0,43100.0,43250.0,42048.3125,942400
2016-06-03,43250.0,43450.0,43050.0,43150.0,41951.09375,1230300
2016-06-06,43300.0,43525.0,43050.0,43200.0,41999.703125,1725200
2016-06-07,43175.0,43650.0,43150.0,43650.0,42437.195313,1596300
2016-06-08,43400.0,43800.0,43250.0,43800.0,42583.03125,1608000
2016-06-09,43525.0,43600.0,43175.0,43250.0,42048.3125,1578500
